No.,Kode  Saham,Nama  Penerbit  Efek,ISSI
120,CBRE,Cakra Buana Resources Energi Tbk,Ya
121,CCSI,Communication Cable Systems Indonesia Tbk,Ya
122,CEKA,Wilmar Cahaya Indonesia Tbk,Ya
123,CGAS,Citra Nusantara Gemilang Tbk,Ya
124,CHEK,Diastika Biotekindo Tbk,Ya
125,CHEM,Chemstar Indonesia Tbk,Ya
126,CHIP,Pelita Teknologi Global Tbk,Tidak
127,CINT,Chitose Internasional Tbk,Ya
128,CITA,Cita Mineral Investindo Tbk,Ya
129,CITY,Natura City Developments Tbk,Ya
130,CLEO,Sariguna Primatirta Tbk,Ya
131,CLPI,Colorpak Indonesia Tbk,Ya
132,CMNP,Citra Marga Nusaphala Persada Tbk,Ya
133,CMPP,AirAsia Indonesia Tbk,Ya
134,CMRY,Cisarua Mountain Dairy Tbk,Ya
135,CNKO,Exploitasi Energi Indonesia Tbk,Ya
136,CNMA,Nusantara Sejahtera Raya Tbk,Ya
137,COAL,Black Diamond Resources Tbk,Ya
138,CPIN,Charoen Pokphand Indonesia Tbk,Ya
139,CPRO,Central Proteina Prima Tbk,Ya
140,CRAB,Toba Surimi Industries Tbk,Ya
141,CRSN,Carsurin Tbk,Ya
142,CSAP,Catur Sentosa Adiprana Tbk,Ya
143,CSIS,Cahayasakti Investindo Sukses Tbk,Ya
144,CSMI,Cipta Selera Murni Tbk,Ya
145,CSRA,Cisadane Sawit Raya Tbk,Ya
146,CTBN,Citra Tubindo Tbk,Ya
147,CTRA,Ciputra Development Tbk,Ya
148,CYBR,ITSEC Asia Tbk,Ya
149,DAAZ,Daaz Bara Lestari Tbk,Ya
150,DADA,Diamond Citra Propertindo Tbk,Ya
151,DATA,Remala Abadi Tbk,Ya
152,DAYA,Duta Intidaya Tbk,Ya
153,DCII,DCI Indonesia Tbk,Ya
154,DEFI,Danasupra Erapacific Tbk,Ya
155,DEPO,Caturkarda Depo Bangunan Tbk,Ya
156,DEWA,Darma Henwa Tbk,Ya
157,DEWI,Dewi Shri Farmindo Tbk,Ya
158,DGIK,Nusa Konstruksi Enjiniring Tbk,Ya
159,DGNS,Diagnos Laboratorium Utama Tbk,Ya
160,DGWG,Delta Giri Wacana Tbk,Ya
161,DILD,Intiland Development Tbk,Ya
162,DIVA,Distribusi Voucher Nusantara Tbk,Ya
163,DKFT,Central Omega Resources Tbk,Ya
164,DKHH,Cipta Sarana Medika Tbk,Ya
165,DMAS,Puradelta Lestari Tbk,Ya
166,DMMX,Digital Mediatama Maxima Tbk,Ya
167,DMND,Diamond Food Indonesia Tbk,Ya
168,DOOH,Era Media Sejahtera Tbk,Ya
169,DOSS,Global Sukses Digital Tbk,Ya
170,DRMA,Dharma Polimetal Tbk,Ya
171,DSFI,Dharma Samudera Fishing Ind. Tbk,Ya
172,DSNG,Dharma Satya Nusantara Tbk,Ya
