No.,Kode  Saham,Nama  Penerbit  Efek,ISSI
518,PWON,Pakuwon Jati Tbk,Ya
519,PZZA,Sarimelati Kencana Tbk,Ya
520,RAAM,Tripar Multivision Plus Tbk,Ya
521,RAFI,Sari Kreasi Boga Tbk,Ya
522,RAJA,Rukun Raharja Tbk,Ya
523,RALS,Ramayana Lestari Sentosa Tbk,Ya
524,RANC,Supra Boga Lestari Tbk,Ya
525,RATU,Raharja Energi Cepu Tbk,Ya
526,RBMS,Ristia Bintang Mahkotasejati Tbk,Ya
527,RDTX,Roda Vivatex Tbk,Ya
528,RELF,Graha Mitra Asia Tbk,Tidak
529,RGAS,Kian Santang Muliatama Tbk,Ya
530,RIGS,Rig Tenders Tbk,Ya
531,RISE,Jaya Sukses Makmur Sentosa Tbk,Ya
532,RMKE,RMK Energy Tbk,Ya
533,RMKO,Royaltama Mulia Kontraktorindo Tbk,Ya
534,ROCK,Rockfields Properti Indonesia Tbk,Ya
535,RODA,Pikko Land Development Tbk,Ya
536,RONY,Aesler Grup Internasional Tbk,Ya
537,ROTI,Nippon Indosari Corpindo Tbk,Ya
538,RSGK,Kedoya Adyaraya Tbk,Ya
539,RUIS,Radiant Utama Interinsco Tbk,Ya
540,RUNS,Global Sukses Solusi Tbk,Tidak
541,SAFE,Steady Safe Tbk,Ya
542,SAGE,Saptausaha Gemilangindah Tbk,Ya
543,SAME,Sarana Meditama Metropolitan Tbk,Ya
544,SAMF,Saraswanti Anugerah Makmur Tbk,Ya
545,SAPX,Satria Antaran Prima Tbk,Ya
546,SATU,Kota Satu Properti Tbk,Ya
547,SBMA,Surya Biru Murni Acetylene Tbk,Ya
548,SCCO,Supreme Cable Manufacturing & Commerce Tbk,Ya
549,SCNP,Selaras Citra Nusantara Perkasa Tbk,Ya
550,SCPI,Organon Pharma Indonesia Tbk,Ya
551,SEMA,Semacom Integrated Tbk,Ya
552,SGER,Sumber Global Energi Tbk,Ya
553,SGRO,Sampoerna Agro Tbk,Ya
554,SHID,Hotel Sahid Jaya Tbk,Ya
555,SHIP,Sillo Maritime Perdana Tbk,Ya
556,SICO,Sigma Energi Compressindo Tbk,Ya
557,SIDO,Industri Jamu Dan Farmasi Sido Muncul Tbk,Ya
558,SILO,Siloam International Hospitals Tbk,Ya
559,SIMP,Salim Ivomas Pratama Tbk,Ya
560,SIPD,Sreeya Sewu Indonesia Tbk,Ya
561,SKBM,Sekar Bumi Tbk,Ya
562,SKLT,Sekar Laut Tbk,Ya
563,SKRN,Superkrane Mitra Utama Tbk,Ya
564,SLIS,Gaya Abadi Sempurna Tbk,Ya
565,SMAR,Sinar Mas Agro Resources and Technology Tbk,Ya
566,SMBR,Semen Baturaja Tbk,Ya
567,SMCB,Solusi Bangun Indonesia Tbk,Ya
568,SMDM,Suryamas Dutamakmur Tbk,Ya
569,SMDR,Samudera Indonesia Tbk,Ya
570,SMGA,Sumber Mineral Global Abadi Tbk,Ya
571,SMGR,Semen Indonesia (Persero) Tbk,Ya
572,SMIL,Sarana Mitra Luas Tbk,Ya
573,SMKL,Satyamitra Kemas Lestari Tbk,Ya
574,SMKM,Sumber Mas Konstruksi Tbk,Tidak
575,SMLE,Sinergi Multi Lestarindo Tbk,Ya
576,SMMT,Golden Eagle Energy Tbk,Ya
577,SMRA,Summarecon Agung Tbk,Ya
578,SMSM,Selamat Sempurna Tbk,Ya
579,SNLK,Sunter Lakeside Hotel Tbk,Ya
580,SOCI,Soechi Lines Tbk,Ya
581,SOFA,Boston Furniture Industries Tbk,Tidak
582,SOHO,Soho Global Health Tbk,Ya
583,SOLA,Xolare RCR Energi Tbk,Ya
584,SONA,Sona Topas Tourism Industry Tbk,Ya
585,SOSS,Shield On Service Tbk,Ya
586,SOTS,Satria Mega Kencana Tbk,Ya
587,SOUL,Mitra Tirta Buwana Tbk,Tidak
588,SPMA,Suparma Tbk,Ya
589,SPRE,Soraya Berjaya Indonesia Tbk,Tidak
590,SPTO,Surya Pertiwi Tbk,Ya
591,SRTG,Saratoga Investama Sedaya Tbk,Ya
592,SSIA,Surya Semesta Internusa Tbk,Ya
593,SSTM,Sunson Textile Manufacturer Tbk,Ya
594,STAA,Sumber Tani Agung Resources Tbk,Ya
595,STTP,Siantar Top Tbk,Ya
596,SULI,SLJ Global Tbk,Ya
597,SUNI,Sunindo Pratama Tbk,Ya
598,SUPR,Solusi Tunas Pratama Tbk,Ya
599,SURI,Maja Agung Latexindo Tbk,Ya
600,SWID,Saraswanti Indoland Development Tbk,Ya
601,TALF,Tunas Alfin Tbk,Ya
602,TAMA,Lancartama Sejati Tbk,Ya
603,TAMU,Pelayaran Tamarin Samudra Tbk,Ya
604,TAPG,Triputra Agro Persada Tbk,Ya
605,TARA,Agung Semesta Sejahtera Tbk,Ya
606,TAXI,Express Transindo Utama Tbk,Ya
607,TBMS,Tembaga Mulia Semanan Tbk,Ya
608,TCID,Mandom Indonesia Tbk,Ya
609,TCPI,Transcoal Pacific Tbk,Ya
610,TEBE,Dana Brata Luhur Tbk,Ya
611,TFAS,Telefast Indonesia Tbk,Ya
612,TFCO,Tifico Fiber Indonesia Tbk,Ya
613,TGKA,Tigaraksa Satria Tbk,Ya
614,TGUK,Platinum Wahab Nusantara Tbk,Ya
615,TINS,Timah Tbk,Ya
616,TIRA,Tira Austenite Tbk,Ya
617,TIRT,Tirta Mahakam Resources Tbk,Ya
618,TKIM,Pabrik Kertas Tjiwi Kimia Tbk,Ya
619,TLDN,Teladan Prima Agro Tbk,Ya
620,TLKM,Telkom Indonesia (Persero) Tbk,Ya
621,TMAS,Temas Tbk,Ya
622,TMPO,Tempo Inti Media Tbk,Ya
623,TNCA,Trimuda Nuansa Citra Tbk,Ya
624,TOBA,TBS Energi Utama Tbk,Ya
625,TOOL,Rohartindo Nusantara Luas Tbk,Ya
626,TOSK,Topindo Solusi Komunika Tbk,Ya
627,TOTL,Total Bangun Persada Tbk,Ya
628,TOTO,Surya Toto Indonesia Tbk,Ya
629,TPIA,Chandra Asri Pacific Tbk,Ya
630,TPMA,Trans Power Marine Tbk,Ya
631,TRIS,Trisula International Tbk,Ya
632,TRJA,Transkon Jaya Tbk,Ya
633,TRON,Teknologi Karya Digital Nusa Tbk,Ya
634,TRST,Trias Sentosa Tbk,Ya
635,TRUE,Triniti Dinamik Tbk,Ya
636,TRUK,Guna Timur Raya Tbk,Ya
637,TSPC,Tempo Scan Pacific Tbk,Ya
638,TYRE,King Tire Indonesia Tbk,Ya
639,UANG,Pakuan Tbk,Ya
640,UCID,Uni-Charm Indonesia Tbk,Ya
641,UDNG,Agro Bahari Nusantara Tbk,Tidak
642,UFOE,Damai Sejahtera Abadi Tbk,Ya
643,ULTJ,Ultrajaya Milk Industry & Trading Company Tbk,Ya
644,UNIC,Unggul Indah Cahaya Tbk,Ya
645,UNIQ,Ulima Nitra Tbk,Ya
646,UNTR,United Tractors Tbk,Ya
647,UNVR,Unilever Indonesia Tbk,Ya
648,UVCR,Trimegah Karya Pratama Tbk,Ya
649,VAST,Vastland Indonesia Tbk,Ya
650,VERN,Verona Indah Pictures Tbk,Ya
651,VICI,Victoria Care Indonesia Tbk,Ya
652,VISI,Satu Visi Putra Tbk,Ya
653,VKTR,VKTR Teknologi Mobilitas Tbk,Ya
654,VOKS,Voksel Electric Tbk,Ya
655,WAPO,Wahana Pronatural Tbk,Ya
656,WEGE,Wijaya Karya Bangunan Gedung Tbk,Ya
657,WEHA,WEHA Transportasi Indonesia Tbk,Ya
658,WGSH,Wira Global Solusi Tbk,Tidak
659,WIDI,Widiant Jaya Krenindo Tbk,Tidak
660,WINR,Winner Nusantara Jaya Tbk,Ya
661,WINS,Wintermar Offshore Marine Tbk,Ya
662,WIRG,WIR ASIA Tbk,Ya
663,WMUU,Widodo Makmur Unggas Tbk,Ya
664,WOOD,Integra Indocabinet Tbk,Ya
665,WOWS,Ginting Jaya Energi Tbk,Ya
666,WTON,Wijaya Karya Beton Tbk,Ya
667,YELO,Yelooo Integra Datanet Tbk,Ya
668,YPAS,Yanaprima Hastapersada Tbk,Ya
669,YUPI,Yupi Indo Jelly Gum Tbk,Ya
670,ZATA,Bersama Zatta Jaya Tbk,Ya
671,ZONE,Mega Perintis Tbk,Ya
672,ZYRX,Zyrexindo Mandiri Buana Tbk,Ya
